item_name,item_brand,item_main_category,item_sub_category,Best_Profit_GBP_Per_Item,Best_Profit_Margin_Per_Item
shoulder bag,Karl Lagerfeld,Shoes & Bags,Bags,131.9,0.44342857142857139
boots,Pierre Cardin,Shoes & Bags,Shoes,17.9,0.44333333333333336
lifestyle shoes,Pierre Cardin,Shoes & Bags,Shoes,17.3,0.44333333333333336
sneakers,Pierre Cardin,Shoes & Bags,Shoes,13.3,0.44333333333333336
suitcase,Pierre Cardin,Accessories,Luggage,46.7,0.44333333333333336
denim jacket,Karl Lagerfeld,Outerwear,Jackets,126.30000000000001,0.44315789473684214
wrist bag,Karl Lagerfeld,Shoes & Bags,Bags,86.9,0.44312500000000005
slippers,U.S. Polo Assn.,Shoes & Bags,Flipflops & Slippers,4.2,0.44285714285714289
nail polish,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,3.1,0.44285714285714289
eyeshadow,Bobbi Brown,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,16.8,0.44285714285714289
brush,Clinique,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,7.9,0.44285714285714289
mixer,Zwilling,Home & Decoration,Home & Decoration,17.7,0.4425
sunscreen,Shiseido,Cosmetics & Makeup & Selfcare,Selfcare,19.9,0.44222222222222218
jacket,Lee,Outerwear,Jackets,48.7,0.44222222222222218
outdoor boot,Pierre Cardin,Shoes & Bags,Shoes,19.9,0.44222222222222218
pepper mill,Zwilling,Home & Decoration,Home & Decoration,19.9,0.44222222222222218
sneakers,Armani Exchange,Shoes & Bags,Shoes,99.6,0.44214285714285717
trousers,Guess,Bottoms,Trousers,27.1,0.442
sneaker,Armani Exchange,Shoes & Bags,Shoes,149.8,0.44181818181818183
jumper,Armani Exchange,Suits & Tops,Jumpers,54.099999999999994,0.44181818181818183
coat,Armani Exchange,Outerwear,Jackets,28.700000000000003,0.4415384615384616
watch,Guess,Accessories,Watches,108.4,0.44105263157894736
sandals,Dkny,Shoes & Bags,Shoes,67.8,0.44095238095238093
moisturiser,Lancaster,Cosmetics & Makeup & Selfcare,Cosmetics & Makeup,2.2,0.44000000000000006
heeled shoes,Pierre Cardin,Shoes & Bags,Shoes,11.100000000000001,0.44000000000000006
slippers,Pierre Cardin,Shoes & Bags,Flipflops & Slippers,7.4,0.44000000000000006
football ,adidas,Accessories,Sports Equipment,17.0,0.44000000000000006
trousers,Nautica,Bottoms,Trousers,12.7,0.44000000000000006
swim shorts,Nike,Beachwear,Swimwear,8.8,0.44000000000000006
denim jacket,Lee Cooper,Outerwear,Jackets,37.8,0.44000000000000006
swim shorts,Billabong,Beachwear,Swimwear,10.4,0.44000000000000006
jumpsuit,Lee Cooper,Suits & Tops,Dresses & Jumpsuits,14.100000000000001,0.44000000000000006
suitcase,Reebok,Home & Decoration,Home & Decoration,3.9000000000000004,0.44000000000000006
skirt,Guess,Bottoms,Skirts,9.6,0.44000000000000006
