date,device_category,registered_or_guest,no_visits,no_view_item,no_add_to_cart,no_purchases,no_transactions,conversion_rate
2020-01-14,tablet,guest,331,331,31,1,1,0.0030211480362537764
2020-01-14,tablet,registered,46,46,8,1,1,0.021739130434782608
2020-01-15,,guest,23645,0,0,0,0,0.0
2020-01-15,desktop,guest,11212,11204,1081,54,54,0.004816268283981448
2020-01-15,desktop,registered,3566,3543,837,181,181,0.050757150869321366
2020-01-15,mobile,guest,20447,20446,1440,55,55,0.002689881156159828
2020-01-15,mobile,registered,2770,2751,597,162,162,0.058483754512635377
2020-01-15,tablet,guest,346,346,34,1,1,0.0028901734104046241
2020-01-15,tablet,registered,48,48,8,3,3,0.0625
2020-01-16,,guest,27253,0,0,0,0,0.0
2020-01-16,desktop,guest,12198,12179,1007,51,51,0.004181013280865716
2020-01-16,desktop,registered,3757,3732,739,174,174,0.046313548043651849
2020-01-16,mobile,guest,22989,22983,1354,34,34,0.0014789682021836531
2020-01-16,mobile,registered,3055,3031,536,112,112,0.036661211129296233
2020-01-16,tablet,guest,420,420,29,0,0,0.0
2020-01-16,tablet,registered,51,51,11,0,0,0.0
2020-01-17,,guest,29934,0,0,0,0,0.0
2020-01-17,desktop,guest,10918,10907,945,66,66,0.006045063198387983
2020-01-17,desktop,registered,3443,3414,687,190,190,0.055184432181237295
2020-01-17,mobile,guest,24642,24636,1369,40,40,0.0016232448664881098
2020-01-17,mobile,registered,3017,2981,556,141,141,0.046735167384819358
2020-01-17,tablet,guest,424,424,28,0,0,0.0
2020-01-17,tablet,registered,73,71,6,3,3,0.0410958904109589
2020-01-18,,guest,30945,0,0,0,0,0.0
2020-01-18,desktop,guest,7223,7216,565,33,33,0.0045687387512114083
2020-01-18,desktop,registered,2052,2034,415,139,139,0.067738791423001946
2020-01-18,mobile,guest,32373,32366,1790,70,70,0.0021622957402773917
2020-01-18,mobile,registered,3832,3806,671,143,143,0.037317327766179541
2020-01-18,tablet,guest,531,531,37,2,2,0.003766478342749529
2020-01-18,tablet,registered,66,65,13,3,3,0.045454545454545456
2020-01-19,,guest,30082,0,0,0,0,0.0
2020-01-19,desktop,guest,6322,6316,549,38,38,0.0060107560898449855
2020-01-19,desktop,registered,1854,1842,432,132,132,0.071197411003236247
2020-01-19,mobile,guest,32925,32917,1864,74,74,0.0022475322703113137
2020-01-19,mobile,registered,3790,3769,632,146,146,0.038522427440633243
